300	0.949801238	2.7630088
310	0.963573979	2.8837295
320	0.98689283	3.00476615
330	1.01856263	3.12441259
340	1.05757242	3.24148921
350	1.1030728	3.35507493
360	1.15429924	3.46435744
370	1.21048206	3.56856551
380	1.27076153	3.66696213
390	1.33412207	3.75888591
400	1.39935982	3.84382956
410	1.46509807	3.92153859
420	1.52985913	3.99210539
430	1.59218781	4.05602801
440	1.65080411	4.11420689
450	1.70474836	4.1678683
460	1.75348023	4.21842656
470	1.79690621	4.26731775
480	1.83533375	4.31584483
490	1.86937172	4.36506624
500	1.89980767	4.41574203
510	1.92749106	4.46833341
520	1.95324111	4.52304032
530	1.9777865	4.57985853
540	2.00173486	4.63864059
550	2.02556512	4.69915056
560	2.04963498	4.76110787
570	2.07419638	4.82421916
580	2.09941401	4.88819955
590	2.12538366	4.9527854
600	2.15214867	5.01774085
610	2.17971379	5.0828602
620	2.20805631	5.14796755
630	2.23713481	5.21291495
640	2.26689572	5.27757971
650	2.29727825	5.34186152
660	2.32821793	5.40567945
670	2.35964916	5.46896924
680	2.39150697	5.53168082
690	2.42372818	5.5937761
700	2.4562522	5.6552271
710	2.48902146	5.7160143
720	2.5219817	5.77612526
730	2.55508204	5.83555346
740	2.58827497	5.8942973
750	2.62151632	5.95235931
760	2.65476511	6.00974538
770	2.68798345	6.06646427
780	2.72113635	6.12252703
790	2.75419157	6.17794666
800	2.78711947	6.23273771
810	2.81989287	6.28691603
820	2.85248687	6.34049849
830	2.88487871	6.39350278
840	2.91704768	6.44594723
850	2.94897495	6.49785066
860	2.98064345	6.54923227
870	3.0120378	6.60011147
880	3.04314418	6.65050784
890	3.07395023	6.70044104
900	3.104445	6.7499307
910	3.13461879	6.7989964
920	3.16446317	6.84765759
930	3.19397084	6.89593356
940	3.22313557	6.9438434
950	3.25195216	6.99140594
960	3.28041637	7.03863973
970	3.30852486	7.08556305
980	3.33627513	7.13219381
990	3.36366549	7.17854962
1000	3.390695	7.22464769
1010	3.41736342	7.27050488
1020	3.44367117	7.31613763
1030	3.46961931	7.361562
1040	3.49520945	7.40679363
1050	3.52044379	7.45184774
1060	3.54532501	7.49673913
1070	3.56985627	7.54148216
1080	3.5940412	7.58609076
1090	3.61788382	7.63057844
1100	3.64138853	7.67495825
1110	3.66456013	7.71924282
1120	3.6874037	7.76344432
1130	3.70992465	7.80757452
1140	3.73212868	7.85164471
1150	3.75402172	7.89566579
1160	3.77560996	7.93964822
1170	3.79689978	7.98360202
1180	3.81789777	8.0275368
1190	3.83861068	8.07146177
1200	3.85904542	8.11538572
1210	3.87920902	8.15931703
1220	3.89910865	8.20326369
1230	3.91875157	8.24723329
1240	3.93814512	8.29123306
1250	3.95729672	8.33526984
1260	3.97621384	8.37935008
1270	3.99490399	8.4234799
1280	4.01337471	8.46766506
1290	4.03163357	8.51191096
1300	4.04968813	8.55622267
1310	4.06754595	8.60060493
1320	4.08521457	8.64506218
1330	4.10270151	8.6895985
1340	4.12001426	8.73421772
1350	4.13716026	8.77892334
1430	4.2691974	9.14000907
1440	4.28516654	9.18560571
1450	4.30103937	9.23130948
1460	4.31682242	9.2771212
1470	4.33252209	9.32304151
1480	4.34814469	9.36907084
1490	4.36369641	9.41520946
1500	4.37918331	9.46145746
1510	4.39461133	9.50781477
1520	4.4099863	9.55428116
1530	4.4253139	9.60085625
1540	4.44059972	9.64753953
1550	4.45584918	9.69433033
1560	4.47106762	9.74122788
1570	4.4862602	9.78823127
1580	4.50143201	9.83533947
1590	4.51658795	9.88255136
1600	4.53173284	9.92986571
